scheduler	fuse_threads	workload	wall_s	throughput	unit	daemon_cpu_s	op_p50_us	op_p95_us	op_p99_us	fuse_max_concurrency
pool-16	1	tree_copy	0.015	-	trees	0.020	-	-	-	1
pool-16	1	untar	0.030	-	tars	0.020	-	-	-	1
pool-16	1	make_j	0.098	-	-	0.020	-	-	-	1
pool-16	1	cargo_build	12.564	-	-	18.490	-	-	-	1
pool-16	1	mixed_rw	0.062	-	-	0.130	-	-	-	1
pool-16	1	fsync_heavy	0.119	-	us	0.050	4167.4	4458.9	5825.8	1
pool-16	4	serial_cp	0.055	219.9	MB/s	0.120	-	-	-	4
pool-16	4	serial_dd	0.082	1566.7	MB/s	0.220	-	-	-	4
pool-16	4	parallel_write	0.019	628.1	MB/s	0.170	-	-	-	4
pool-16	4	parallel_read	0.009	1335.6	MB/s	0.010	-	-	-	4
pool-16	4	latency_write	0.417	-	us	5.470	11050.2	15536.3	16430.5	4
pool-16	4	latency_read	0.012	-	us	0.010	13.5	89.8	415.7	4
pool-16	4	ns_ops	0.024	-	cyc/s	0.020	222.5	651.3	4447.0	4
pool-16	4	tree_copy	0.069	-	trees	0.100	-	-	-	4
pool-16	4	untar	0.128	-	tars	0.180	-	-	-	4
pool-16	4	make_j	0.059	-	-	0.030	-	-	-	4
pool-16	4	cargo_build	3.073	-	-	7.260	-	-	-	4
pool-16	4	mixed_rw	0.034	-	-	0.150	-	-	-	4
pool-16	4	fsync_heavy	0.385	-	us	0.140	5198.1	8061.1	11150.5	4
pool-16	8	serial_cp	0.056	214.2	MB/s	0.120	-	-	-	8
pool-16	8	serial_dd	0.084	1522.3	MB/s	0.230	-	-	-	8
pool-16	8	parallel_write	0.015	785.1	MB/s	0.170	-	-	-	8
pool-16	8	parallel_read	0.007	1761.2	MB/s	0.010	-	-	-	8
pool-16	8	latency_write	0.813	-	us	11.120	22691.9	29023.2	31668.9	8
pool-16	8	latency_read	0.014	-	us	0.000	32.1	125.9	876.7	8
pool-16	8	ns_ops	0.038	-	cyc/s	0.050	756.6	1034.4	6266.1	8
pool-16	8	tree_copy	0.138	-	trees	0.220	-	-	-	8
pool-16	8	untar	0.155	-	tars	0.250	-	-	-	8
pool-16	8	make_j	0.048	-	-	0.030	-	-	-	8
pool-16	8	cargo_build	5.751	-	-	10.510	-	-	-	8
pool-16	8	mixed_rw	0.023	-	-	0.180	-	-	-	8
pool-16	8	fsync_heavy	0.855	-	us	0.400	5251.9	9502.3	22997.6	8
pool-16	16	serial_cp	0.056	213.6	MB/s	0.130	-	-	-	16
pool-16	16	serial_dd	0.098	1303.2	MB/s	0.240	-	-	-	16
pool-16	16	parallel_write	0.016	739.5	MB/s	0.170	-	-	-	16
pool-16	16	parallel_read	0.007	1840.8	MB/s	0.020	-	-	-	16
pool-16	16	latency_write	1.733	-	us	22.850	48892.7	76290.9	87260.2	16
pool-16	16	latency_read	0.016	-	us	0.020	65.3	319.8	1380.8	16
pool-16	16	ns_ops	0.084	-	cyc/s	0.100	1982.4	5197.0	11691.5	16
pool-16	16	tree_copy	0.265	-	trees	0.440	-	-	-	16
pool-16	16	untar	0.436	-	tars	0.660	-	-	-	16
pool-16	16	make_j	0.042	-	-	0.030	-	-	-	16
pool-16	16	cargo_build	7.847	-	-	14.730	-	-	-	16
pool-16	16	mixed_rw	0.021	-	-	0.190	-	-	-	16
pool-16	16	fsync_heavy	2.098	-	us	1.210	6658.4	10077.8	12818.2	16
